NGRAM COVERAGE
C 18633
c 9682
[C@ 9216
( 8514
) 8514
=O) 7902
@H] 7698
(=O 7329
O) 7108
CC 6838
C( 6756
C(= 6702
[C 6160
C@ 6144
O 5887
)C 5764
(= 5442
H] 5388
=O 5318
@H 5132
cc 5110
(C 4838
[ 4599
] 4599
@ 4586
H]( 4530
C@@ 4518
1 4225
,1, 4137
1,0 4083
= 3996
C@H 3951
@@H 3747
]( 3742
c(c 3567
c( 3498
ccc 3411
H 3362
,0C 3357
(c 3330
)O 3326
C) 3308
@@ 3018
C[C 2997
,1 2982
, 2946
,0 2910
C[ 2886
CC( 2865
N 2799
1, 2796
c1 2738
](C 2736
CCC 2583
cc( 2490
([C 2391
2 2376
O)C 2352
O)[ 2331
)N 2326
)[ 2294
=C 2284
C(C 2283
0C 2238
O)N 2202
c1c 2178
)C( 2145
C)C 2019
[NH 1974
(C) 1923
c2 1918
(cc 1896
]([ 1842
CC[ 1818
([ 1754
1cc 1731
3 1728
c2c 1719
O)O 1695
O-] 1650
[O- 1650
(CC 1638
)O) 1632
1c 1616
0CC 1605
OC 1594
[N 1574
+] 1556
)CC 1539
C=C 1524
)[O 1479
0 1456
)C) 1452
)OC 1425
NH 1316
1) 1312
c3 1304
C[N 1302
NC 1250
C)O 1245
2c 1238
)NC 1230
)( 1188
NC( 1170
-] 1164
-]) 1158
1C 1142
CO 1138
C= 1110
c3c 1101
O- 1100
[O 1100
)[C 1095
(C( 1077
H+] 1068
]1 1066
NH+ 1044
cc2 1032
]) 1024
2cc 1020
@] 1018
C,1 1017
2) 1006
c1) 993
H]2 972
cc1 969
O,1 954
C1 946
